CICLO ,Deflactor implícito del PIB 2020=100 
1993,10.89296175
1994,11.80031831
1995,16.39966961
1996,20.7425212
1997,24.41509564
1998,28.2786795
1999,32.60680761
2000,36.10539374
2001,38.44669835
2002,40.54605961
2003,42.29435224
2004,45.71827875
2005,48.40774026
2006,51.36667451
2007,54.51333388
2008,57.95811045
2009,60.98840182
2010,63.66170236
2011,67.25281493
2012,70.33512476
2013,71.535492
2014,74.65235297
2015,77.05615416
2016,81.7207169
2017,87.11380715
2018,91.64343416
2019,95.61204964
2020,100
2021,104.5074864
2022,111.4600158
2023,116.6536162
2024,122.3745732
2025,128.738051
2026,134.9174774
