grupo_agro_sexo_jornal,poblacion,porcentaje,anio,trimestre
Hombres jornaleros,2634070,0.381366361427251,2023,3
Hombres no jornaleros,3256148,0.4714321620263017,2023,3
Mujeres jornaleras,422534,0.0611753879582934,2023,3
Mujeres no jornaleras,594176,0.0860260885881538,2023,3
Hombres jornaleros,2733518,0.3880543917076297,2024,3
Hombres no jornaleros,3230099,0.458549789172935,2024,3
Mujeres jornaleras,454004,0.0644511014936908,2024,3
Mujeres no jornaleras,626541,0.0889447176257445,2024,3
Hombres jornaleros,2482251,0.3743166621930144,2025,3
Hombres no jornaleros,3198782,0.4823675773816166,2025,3
Mujeres jornaleras,401563,0.0605546021817348,2025,3
Mujeres no jornaleras,548824,0.0827611582436341,2025,3
