ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision,anio,trimestre,cve_ent
1.0,6450,41.973348139922265,0.2748473070516379,0.9466962798445308,0.5243383305570979,0.0398087040673994,Alta,1801,,False,Varianza no estimable,2023,3,
2.0,7740,45.55810601020182,0.2534930139720558,0.5608782435129741,0.363790936645228,0.0311941694092205,Media,18036,,False,Varianza no estimable,2023,3,
3.0,6450,41.724201930215294,0.0605048255382331,0.4988864142538975,0.3172482058896312,0.0464576163160817,Baja,2694,,False,Varianza no estimable,2023,3,
4.0,4300,37.79153354632588,0.3234824281150159,0.742811501597444,0.6240681576144834,0.0288022457874789,Alta,1252,,False,Varianza no estimable,2023,3,
5.0,8170,37.01119592875318,0.0722646310432569,0.4608142493638677,0.2558100084817642,0.1166718267279517,Baja,3930,,False,Varianza no estimable,2023,3,
6.0,7740,43.19975737970077,0.3182369591589163,0.6546704407602103,0.4599451857842476,0.0318883320244995,Alta,7419,,False,Varianza no estimable,2023,3,
7.0,6880,44.299039301310046,0.1486462882096069,0.5865502183406114,0.3227365356622998,0.0500457081204604,Media,5725,,False,Varianza no estimable,2023,3,
8.0,6450,57.34495370899532,0.5102297405417762,0.9007886615613212,0.6313864441650474,0.0879468862252496,Alta,8749,,False,Varianza no estimable,2023,3,
9.0,0,39.84310441094361,0.0469011725293132,1.0,0.5559277870835659,0.1076824322428519,Alta,1791,,False,Varianza no estimable,2023,3,
10.0,4300,32.56401944894652,0.2547271745002701,0.6539708265802269,0.4971186745903115,0.0914761133054119,Alta,3702,,False,Varianza no estimable,2023,3,
11.0,5590,47.07256426623339,0.3163987698021238,0.6359600765972263,0.5041973732567361,0.0471860427713088,Alta,34466,,False,Varianza no estimable,2023,3,
12.0,2580,27.73960284750843,0.1211439990008742,1.0,0.6952666416885225,0.0402645305029348,Alta,8007,,False,Varianza no estimable,2023,3,
13.0,2580,30.728012120245594,0.0894665497169284,1.0,0.6777237328230072,0.0112003325693208,Alta,12541,,False,Varianza no estimable,2023,3,
14.0,7310,41.01297061132539,0.087995357886473,0.3612315254121582,0.2135030890534867,0.0418088952550722,Baja,58594,,False,Varianza no estimable,2023,3,
15.0,5590,42.26074074074074,0.1315226337448559,0.9941152263374486,0.5479149519890261,0.0929483501998069,Alta,24300,,False,Varianza no estimable,2023,3,
16.0,6450,37.46898176424396,0.0229299363057324,0.8335398307303028,0.4161824157287031,0.0493225825610822,Media,57305,,False,Varianza no estimable,2023,3,
17.0,3870,44.90308676307008,0.1547552836484983,0.78559510567297,0.5825454208379681,0.0538022552583592,Alta,7192,,False,Varianza no estimable,2023,3,
18.0,7525,43.19601074031454,0.1308016877637131,0.3456079785193709,0.2724715509525636,0.0670367769621809,Baja,2607,,False,Varianza no estimable,2023,3,
