ent,ingreso_mediana,horas_media,prop_sobrejornada,prop_sin_ss,indice_precariedad,se,precariedad_categoria,poblacion,cv_poblacion,confiable,categoria_precision,anio,trimestre,ingreso_mediana_real_2025
1,6450,41.97334814,0.274847307,0.94669628,0.524338331,0.039808704,Alta,1801,,False,Varianza no estimable,2023,3,7118.171352
2,7740,45.55810601,0.253493014,0.560878244,0.363790937,0.031194169,Media,18036,,False,Varianza no estimable,2023,3,8541.805622
3,6450,41.72420193,0.060504826,0.498886414,0.317248206,0.046457616,Baja,2694,,False,Varianza no estimable,2023,3,7118.171352
4,4300,37.79153355,0.323482428,0.742811502,0.624068158,0.028802246,Alta,1252,,False,Varianza no estimable,2023,3,4745.447568
5,8170,37.01119593,0.072264631,0.460814249,0.255810008,0.116671827,Baja,3930,,False,Varianza no estimable,2023,3,9016.350379
6,7740,43.19975738,0.318236959,0.654670441,0.459945186,0.031888332,Alta,7419,,False,Varianza no estimable,2023,3,8541.805622
7,6880,44.2990393,0.148646288,0.586550218,0.322736536,0.050045708,Media,5725,,False,Varianza no estimable,2023,3,7592.716109
8,6450,57.34495371,0.510229741,0.900788662,0.631386444,0.087946886,Alta,8749,,False,Varianza no estimable,2023,3,7118.171352
9,0,39.84310441,0.046901173,1,0.555927787,0.107682432,Alta,1791,,False,Varianza no estimable,2023,3,0
10,4300,32.56401945,0.254727175,0.653970827,0.497118675,0.091476113,Alta,3702,,False,Varianza no estimable,2023,3,4745.447568
11,5590,47.07256427,0.31639877,0.635960077,0.504197373,0.047186043,Alta,34466,,False,Varianza no estimable,2023,3,6169.081838
12,2580,27.73960285,0.121143999,1,0.695266642,0.040264531,Alta,8007,,False,Varianza no estimable,2023,3,2847.268541
13,2580,30.72801212,0.08946655,1,0.677723733,0.011200333,Alta,12541,,False,Varianza no estimable,2023,3,2847.268541
14,7310,41.01297061,0.087995358,0.361231525,0.213503089,0.041808895,Baja,58594,,False,Varianza no estimable,2023,3,8067.260866
15,5590,42.26074074,0.131522634,0.994115226,0.547914952,0.09294835,Alta,24300,,False,Varianza no estimable,2023,3,6169.081838
16,6450,37.46898176,0.022929936,0.833539831,0.416182416,0.049322583,Media,57305,,False,Varianza no estimable,2023,3,7118.171352
17,3870,44.90308676,0.154755284,0.785595106,0.582545421,0.053802255,Alta,7192,,False,Varianza no estimable,2023,3,4270.902811
18,7525,43.19601074,0.130801688,0.345607979,0.272471551,0.067036777,Baja,2607,,False,Varianza no estimable,2023,3,8304.533244
19,6020,47.96097966,0.334993773,0.334993773,0.459065541,0.092418246,Media,7227,,False,Varianza no estimable,2023,3,6643.626595
20,2580,26.29988368,0.089563286,1,0.620492757,0.031195459,Alta,9457,,False,Varianza no estimable,2023,3,2847.268541
21,3096,34.46376922,0.126376414,0.929263713,0.63298997,0.019361135,Alta,39414,,False,Varianza no estimable,2023,3,3416.722249
22,6450,47.75688073,0.360717264,0.564220183,0.472199055,0.043439597,Alta,4796,,False,Varianza no estimable,2023,3,7118.171352
23,6000,27.34800409,0,1,0.501535312,0.06349958,Alta,977,,False,Varianza no estimable,2023,3,6621.554746
24,5160,41.08684943,0.216962947,0.736881559,0.541443564,0.061829847,Alta,9338,,False,Varianza no estimable,2023,3,5694.537082
25,6450,40.74628683,0.094959825,0.313935557,0.288071856,0.043800003,Media,24642,,False,Varianza no estimable,2023,3,7118.171352
26,6880,42.40924119,0.171357149,0.568623498,0.363465312,0.05665417,Media,24802,,False,Varianza no estimable,2023,3,7592.716109
